n,bubble,insertion,selection,merge,quick,stdsort
2,8.94228e-08,1.09334e-07,9.99724e-08,9.72892e-07,2.38495e-07,4.97131e-07
4,3.48476e-07,3.28002e-07,4.00474e-07,2.92456e-06,6.23207e-07,1.07259e-06
6,7.65462e-07,5.75191e-07,6.9053e-07,4.59805e-06,9.23917e-07,1.46412e-06
8,1.46573e-06,8.71502e-07,1.43458e-06,6.44926e-06,1.38615e-06,1.86722e-06
10,2.31467e-06,1.23716e-06,1.9644e-06,8.69728e-06,2.05501e-06,2.46493e-06
12,3.43176e-06,1.64685e-06,2.44035e-06,1.11291e-05,2.47215e-06,2.93982e-06
14,4.56413e-06,1.8927e-06,3.04615e-06,8.47636e-06,1.4964e-06,1.78233e-06
16,3.90141e-06,1.82106e-06,3.02115e-06,1.19745e-05,2.81299e-06,3.09335e-06
18,4.41718e-06,1.78629e-06,2.78061e-06,9.22925e-06,2.02453e-06,3.30731e-06
20,7.52821e-06,3.01262e-06,4.63718e-06,1.5107e-05,2.41521e-06,3.33039e-06
22,5.57536e-06,2.00402e-06,3.29061e-06,1.05919e-05,3.22091e-06,3.99484e-06
24,6.71742e-06,2.38898e-06,3.75148e-06,1.13936e-05,2.93131e-06,4.07848e-06
26,8.5929e-06,2.89779e-06,4.79009e-06,1.2596e-05,3.18455e-06,4.44837e-06
28,1.38675e-05,3.92401e-06,4.90178e-06,1.33788e-05,3.36706e-06,4.90701e-06
30,9.53976e-06,3.04584e-06,7.4483e-06,1.98179e-05,3.98843e-06,6.41038e-06
32,1.19541e-05,3.79468e-06,7.26059e-06,2.09621e-05,4.37265e-06,6.25355e-06
34,1.32943e-05,4.28312e-06,7.32706e-06,2.51325e-05,7.72219e-06,1.02679e-05
36,1.77787e-05,4.7904e-06,8.18811e-06,2.03186e-05,6.52576e-06,1.14488e-05
38,2.57222e-05,8.07451e-06,1.4362e-05,4.98355e-05,5.76847e-06,7.72622e-06
40,2.48024e-05,5.97765e-06,1.34409e-05,3.46831e-05,1.02592e-05,1.37131e-05
42,3.20081e-05,9.81115e-06,1.82226e-05,3.93668e-05,1.25083e-05,1.13565e-05
44,2.20565e-05,8.74312e-06,1.44432e-05,2.32161e-05,6.14853e-06,8.39014e-06
46,2.23384e-05,6.54611e-06,1.2512e-05,2.75992e-05,6.95431e-06,1.00349e-05
48,2.57641e-05,7.19479e-06,1.22234e-05,2.66279e-05,7.17832e-06,9.28694e-06
50,2.58658e-05,7.58632e-06,1.3044e-05,4.89622e-05,1.01028e-05,9.77201e-06
52,2.75661e-05,7.88752e-06,1.36458e-05,2.88826e-05,-8.33741e-05,1.03577e-05
54,-0.000127743,9.38894e-06,1.58299e-05,2.99298e-05,7.90805e-06,1.07765e-05
56,3.99801e-05,9.20712e-06,1.64924e-05,3.03205e-05,8.47183e-06,1.16397e-05
58,3.5255e-05,1.01061e-05,1.79603e-05,3.27722e-05,1.17711e-05,1.25501e-05
60,3.61152e-05,1.12416e-05,1.78691e-05,3.48557e-05,9.44386e-06,1.30362e-05
62,4.41138e-05,1.47646e-05,2.93145e-05,3.83892e-05,9.52762e-06,1.33545e-05
64,4.99376e-05,1.68432e-05,2.95027e-05,4.63367e-05,1.05031e-05,1.87674e-05
66,5.17119e-05,1.95173e-05,2.70918e-05,4.55145e-05,1.07959e-05,1.44823e-05
68,5.25343e-05,1.59024e-05,2.8331e-05,5.41326e-05,2.04747e-05,3.32325e-05
70,0.000126326,4.92655e-05,3.77487e-05,7.46308e-05,1.92377e-05,3.39825e-05
72,0.00011413,2.7362e-05,3.43002e-05,6.30926e-05,1.95894e-05,2.53183e-05
74,9.08872e-05,2.44953e-05,4.12326e-05,5.38715e-05,1.78679e-05,2.3437e-05
76,8.50997e-05,2.15251e-05,2.91328e-05,4.87923e-05,1.94204e-05,2.65488e-05
78,0.000123108,3.75813e-05,5.92463e-05,0.000100426,3.19151e-05,3.30975e-05
80,0.000129113,2.73194e-05,5.34142e-05,6.86256e-05,1.48331e-05,2.06197e-05
82,9.85263e-05,3.49998e-05,5.50823e-05,9.98387e-05,1.68847e-05,2.67434e-05
84,9.05697e-05,2.50948e-05,4.23808e-05,8.23563e-05,1.86542e-05,3.32861e-05
86,0.000118996,3.21002e-05,5.6574e-05,8.67342e-05,2.6923e-05,3.21561e-05
88,7.86519e-05,2.43806e-05,4.31786e-05,5.74081e-05,1.54107e-05,2.99579e-05
90,7.20778e-05,2.0331e-05,3.78122e-05,5.51142e-05,1.39362e-05,1.91819e-05
92,9.60643e-05,2.10433e-05,3.63634e-05,5.87355e-05,1.36667e-05,1.79744e-05
94,7.57123e-05,2.0797e-05,3.51002e-05,4.6026e-05,1.40437e-05,1.8618e-05
96,8.74919e-05,2.14687e-05,3.63565e-05,4.67206e-05,1.43113e-05,2.26043e-05
98,0.000128199,2.54024e-05,4.45832e-05,5.27813e-05,1.49019e-05,2.42842e-05
100,0.000111366,3.02806e-05,4.08253e-05,5.96895e-05,2.03936e-05,2.59487e-05
