n,bubble,insertion,selection,merge,quick,stdsort
2,2.22904e-08,2.23944e-08,2.10208e-08,1.71579e-07,2.32684e-08,7.6736e-08
4,8.72048e-08,5.97114e-08,7.30316e-08,7.06755e-07,6.16824e-07,7.22306e-08
6,1.57996e-07,9.66724e-08,1.36666e-07,2.48357e-06,1.88033e-07,1.45227e-07
8,3.04744e-07,5.48602e-07,9.83867e-07,2.16989e-06,5.72473e-07,1.97428e-07
10,5.18648e-07,1.79972e-07,7.30323e-07,1.50324e-06,3.59735e-07,1.59204e-07
12,7.62214e-07,1.9197e-07,4.69302e-07,1.06577e-06,4.32745e-07,2.43462e-07
14,8.11019e-07,2.43774e-07,5.28063e-07,1.25901e-06,4.71177e-07,2.26527e-07
16,1.07373e-06,2.72687e-07,6.30131e-07,1.53109e-06,5.72661e-07,3.04119e-07
18,1.37645e-06,3.36135e-07,7.5107e-07,1.61483e-06,6.34505e-07,5.32834e-07
20,1.59502e-06,3.66047e-07,9.25126e-07,1.78641e-06,6.94058e-07,6.63625e-07
22,2.48095e-06,5.46456e-07,1.34677e-06,2.74728e-06,1.13701e-06,8.6124e-07
24,3.08162e-06,6.75999e-07,1.69971e-06,3.25555e-06,1.21033e-06,9.57705e-07
26,3.97425e-06,8.33662e-07,2.06695e-06,3.8921e-06,1.63104e-06,1.46519e-06
28,4.80517e-06,8.9084e-07,2.31058e-06,4.36623e-06,1.80039e-06,1.29734e-06
30,5.37754e-06,9.82451e-07,2.61282e-06,4.66148e-06,1.90374e-06,1.45256e-06
32,5.51787e-06,7.03348e-07,1.76297e-06,4.33943e-06,1.73079e-06,1.29103e-06
34,6.02068e-06,1.04057e-06,2.7041e-06,5.07858e-06,2.32307e-06,1.66214e-06
36,7.63789e-06,1.35298e-06,3.38664e-06,4.80021e-06,1.56082e-06,1.066e-06
38,5.19231e-06,8.42014e-07,2.19762e-06,3.70984e-06,1.52741e-06,1.15692e-06
40,6.40902e-06,1.17636e-06,2.59976e-06,4.24823e-06,1.89993e-06,1.45086e-06
42,7.16209e-06,1.19271e-06,3.443e-06,5.55592e-06,2.47605e-06,1.76137e-06
44,8.02935e-06,1.07275e-06,2.77071e-06,4.56566e-06,2.0071e-06,1.38678e-06
46,7.769e-06,1.24095e-06,3.15557e-06,4.92917e-06,2.2224e-06,1.62243e-06
48,8.99987e-06,1.34237e-06,3.90747e-06,6.0492e-06,2.61445e-06,1.78216e-06
50,8.72393e-06,1.30294e-06,3.83748e-06,6.81502e-06,2.88136e-06,2.16156e-06
52,1.26106e-05,1.82349e-06,3.59094e-06,5.26482e-06,2.25506e-06,1.79295e-06
54,1.01485e-05,1.39886e-06,3.73585e-06,5.63872e-06,2.47028e-06,1.8164e-06
56,1.2298e-05,1.59608e-06,3.98148e-06,6.27206e-06,2.76786e-06,2.04581e-06
58,1.39358e-05,1.69144e-06,4.28221e-06,7.57963e-06,2.78669e-06,2.0617e-06
60,1.2447e-05,1.57592e-06,4.36321e-06,6.76282e-06,2.92631e-06,2.02868e-06
62,1.39091e-05,2.32137e-06,6.16916e-06,8.80985e-06,3.71363e-06,2.99587e-06
64,1.79292e-05,2.25315e-06,5.08569e-06,6.78065e-06,2.96198e-06,2.29964e-06
66,1.47099e-05,1.82886e-06,4.97866e-06,7.03657e-06,3.25272e-06,2.80896e-06
68,1.53102e-05,1.7918e-06,5.2005e-06,7.25893e-06,3.14603e-06,2.423e-06
70,1.67204e-05,1.99298e-06,5.4207e-06,7.46383e-06,3.53497e-06,2.51904e-06
72,2.36554e-05,3.7841e-06,9.23931e-06,1.13656e-05,3.37995e-06,2.5396e-06
74,1.76122e-05,2.0848e-06,5.96124e-06,1.03468e-05,5.65047e-06,4.28543e-06
76,2.43949e-05,2.19837e-06,6.21582e-06,8.1299e-06,4.27002e-06,3.1538e-06
78,2.16835e-05,2.25498e-06,7.1397e-06,1.11848e-05,5.07233e-06,4.22142e-06
80,2.80823e-05,3.61627e-06,1.08669e-05,9.97584e-06,3.82686e-06,2.91542e-06
82,2.44052e-05,2.53848e-06,6.94991e-06,9.15926e-06,5.54686e-06,4.86728e-06
84,2.88059e-05,2.83089e-06,7.68647e-06,1.06732e-05,4.10561e-06,3.13784e-06
86,3.10311e-05,2.59849e-06,8.36261e-06,1.10931e-05,4.25677e-06,3.21683e-06
88,3.1699e-05,2.71397e-06,7.7711e-06,9.60456e-06,4.27115e-06,3.27615e-06
90,2.65804e-05,2.80939e-06,9.0413e-06,1.16362e-05,5.3933e-06,4.06189e-06
92,3.19373e-05,3.42255e-06,9.44782e-06,1.29778e-05,6.42935e-06,5.80597e-06
94,3.92042e-05,3.14459e-06,9.48487e-06,1.18055e-05,5.05121e-06,3.74594e-06
96,3.75434e-05,3.25612e-06,9.39928e-06,1.12822e-05,4.99191e-06,3.86742e-06
98,3.73293e-05,3.50222e-06,1.05943e-05,1.35214e-05,5.60246e-06,4.51182e-06
100,4.98804e-05,3.72916e-06,1.18905e-05,1.92317e-05,8.17972e-06,6.2624e-06
